"image.alt","image.src","image.href","image.text"
"Stunning Ballroom Weddings","https://s-media-cache-ak0.pinimg.com/236x/d9/64/53/d96453b30178be668deccff21cca452e.jpg","https://www.pinterest.com/pin/241294492506804468/",""
"AMAZING Ballroom Decor","https://s-media-cache-ak0.pinimg.com/236x/6e/7d/cd/6e7dcd7a4fa01d729d0f0888f047d379.jpg","https://www.pinterest.com/pin/439241769877129251/",""
"Amazing Luxury Ballrooms","https://s-media-cache-ak0.pinimg.com/236x/21/5b/91/215b910617ee804152d4936c9217ccdd.jpg","https://www.pinterest.com/pin/241294492506632367/",""
"Four Seasons Ballroom Weddings","https://s-media-cache-ak0.pinimg.com/236x/41/74/f9/4174f93635c119ae09783ba0cc889d70.jpg","https://www.pinterest.com/pin/241294492506632365/",""
"Luxe Ballroom wedding","https://s-media-cache-ak0.pinimg.com/236x/0a/9f/e8/0a9fe8552c8f481ecddc0b418192b619.jpg","https://www.pinterest.com/pin/241294492506632363/",""
"Boston Park Plaza Wedding Ballroom","https://s-media-cache-ak0.pinimg.com/236x/17/98/9f/17989fa107a9ccf39b830163f8ca7e24.jpg","https://www.pinterest.com/pin/32721534764587015/",""
"Grand Del Mar Ballroom","https://s-media-cache-ak0.pinimg.com/236x/3a/54/37/3a5437599e05efdf88f6fe32d86f7520.jpg","https://www.pinterest.com/pin/241294492506632353/",""
"The Breakers, Palm Beach Circle Ballroom","https://s-media-cache-ak0.pinimg.com/236x/28/25/ce/2825ceb96f24bddd4a17319c6d873a82.jpg","https://www.pinterest.com/pin/241294492506632351/",""
"Stunning Beverly Hills Ballroom Wedding by L.A. Premiere","https://s-media-cache-ak0.pinimg.com/236x/33/cc/9d/33cc9d24e9a849df033e86849c2d8137.jpg","https://www.pinterest.com/pin/241294492506632348/",""
"AMAZING Ballroom Decor","https://s-media-cache-ak0.pinimg.com/236x/9c/4a/04/9c4a04a71d42c0e9be12853500ca7be1.jpg","https://www.pinterest.com/pin/308355905706313443/",""
"AMAZING Ballroom Decor","https://s-media-cache-ak0.pinimg.com/236x/15/c2/b2/15c2b27bf6a9e62a8dd6ef49a5f3330b.jpg","https://www.pinterest.com/pin/10273905370904634/",""
"AMAZING Ballroom Decor","https://s-media-cache-ak0.pinimg.com/236x/50/8c/40/508c405bd8b81806be31b904ed59f514.jpg","https://www.pinterest.com/pin/462744930431973049/",""
"AMAZING Ballroom Decor","https://s-media-cache-ak0.pinimg.com/236x/1e/d2/bf/1ed2bf3243a1daea868efa4e72115925.jpg","https://www.pinterest.com/pin/241294492506632339/",""
"AMAZING Ballroom Decor","https://s-media-cache-ak0.pinimg.com/236x/ba/50/f6/ba50f61e638d1e1f3a9885d6cece9cf8.jpg","https://www.pinterest.com/pin/455919162250663014/",""
