"image.alt","image.src","image.href","image.text"
"That dress!","https://s-media-cache-ak0.pinimg.com/236x/61/4f/e8/614fe8ae04fde28732d9f34b731af85f.jpg","https://www.pinterest.com/pin/11399805282728743/",""
"Future Vintage Wedding","https://s-media-cache-ak0.pinimg.com/236x/2a/d4/03/2ad403a9d2dc77abfc57d9737e11c5dc.jpg","https://www.pinterest.com/pin/11399805282728742/",""
"Future Wedding - simple traditional wedding cake","https://s-media-cache-ak0.pinimg.com/236x/5c/0b/6b/5c0b6b9ab3affba0f3a37b8106183035.jpg","https://www.pinterest.com/pin/11399805282728741/",""
"Storybook Letterpress Wedding Invitations by Jody Wody at minted.com","https://s-media-cache-ak0.pinimg.com/236x/3c/6d/f1/3c6df10f6fffe9f0af3481f987fcf421.jpg","https://www.pinterest.com/pin/461830136758312592/",""
"This would make a cute picture while you are getting ready. #Vintage # Wedding #Ideas","https://s-media-cache-ak0.pinimg.com/236x/d3/f9/7d/d3f97dbf5bd5e61e5ba1175d83ed35b0.jpg","https://www.pinterest.com/pin/162833342748979301/",""
"Love this vintage eclectic cake display! // photo by Chantel Marie, see more: http://theeverylastdetail.com/vintage-eclectic-california-wedding/","https://s-media-cache-ak0.pinimg.com/236x/62/30/f9/6230f9850c53d83baef7e4efcd983f0b.jpg","https://www.pinterest.com/pin/11399805282728720/",""
"Wedding photography","https://s-media-cache-ak0.pinimg.com/236x/d1/8f/f9/d18ff926cd16f9a960633f0b1ccded97.jpg","https://www.pinterest.com/pin/48132289742050291/",""
"beautiful wedding ring","https://s-media-cache-ak0.pinimg.com/236x/0f/0f/6b/0f0f6b5646cbafb6d2afb603d0e52d2e.jpg","https://www.pinterest.com/pin/11399805282728651/",""
"Wedding Trends: Ulyana Sergeenko Inspired","https://s-media-cache-ak0.pinimg.com/236x/4c/0c/10/4c0c109f202a7f0be4db8c7addcf070b.jpg","https://www.pinterest.com/pin/11399805279679631/",""
"Vintage wedding photography - Wedding Kiss: Photography in the 1950s Uncovered on Ebay","https://s-media-cache-ak0.pinimg.com/236x/c6/e3/3b/c6e33bc3601630f195ca6a06e9f1b88c.jpg","https://www.pinterest.com/pin/73746512624081857/",""
"Twine Letterpress Wedding Invitations by Lauren Chism at minted.com","https://s-media-cache-ak0.pinimg.com/236x/bf/d0/1a/bfd01aacaad3c58b19aa435f65a0bdf5.jpg","https://www.pinterest.com/pin/260857003390127428/",""
"Priscilla and Elvis","https://s-media-cache-ak0.pinimg.com/236x/11/c5/8f/11c58ff7713226c408673145f881515f.jpg","https://www.pinterest.com/pin/137993176057258442/",""
"Singer Eddie Fisher and actress Debbie Reynolds Wedding Day in 1955. Beautiful wedding cake!","https://s-media-cache-ak0.pinimg.com/236x/83/95/a0/8395a0462074c35941560938445cdfc4.jpg","https://www.pinterest.com/pin/11399805282728628/",""
"Traditional vintage wedding photo","https://s-media-cache-ak0.pinimg.com/236x/6a/5c/4b/6a5c4b66a368e33ccd481caec2060b67.jpg","https://www.pinterest.com/pin/11399805282728627/",""
"Notable Letterpress Wedding Invitations by Olivia Raufman at minted.com","https://s-media-cache-ak0.pinimg.com/236x/52/ae/21/52ae2153ec80c23cfbdfb63f64a3e58a.jpg","https://www.pinterest.com/pin/20899585743774994/",""
"placement of animals cake topper in front of cake Vintage Wedding Cakes | Ivory & Rose Cake Company | Bridal Musings Wedding Blog 5","https://s-media-cache-ak0.pinimg.com/236x/ef/0a/2e/ef0a2e8986155bc3737642c47f41bd73.jpg","https://www.pinterest.com/pin/333970128590629560/",""
"Classy Type Foil-Pressed Menus by Kimberly FitzSimons at minted.com","https://s-media-cache-ak0.pinimg.com/236x/78/69/62/786962280b74a7822bf368cf9fe83f2a.jpg","https://www.pinterest.com/pin/572660908843993838/",""
"Milk Glass by Minted at minted.com","https://s-media-cache-ak0.pinimg.com/236x/7e/c7/4c/7ec74c22507dc1ad494094db04121c22.jpg","https://www.pinterest.com/pin/11399805282728600/",""
"mismatched plates!  This Backyard Wedding Had Some Of The Coolest Flowers We’ve Ever Seen","https://s-media-cache-ak0.pinimg.com/236x/45/4b/5b/454b5b957cc030c12c1bf024b0fc4c31.jpg","https://www.pinterest.com/pin/482940760013580906/",""
"Naked cakes.....10 Vintage Inspired Wedding Cakes + Vintage Wedding Cake Toppers... Love this one!","https://s-media-cache-ak0.pinimg.com/236x/43/17/58/431758377eb72b6dee92bd16426a4465.jpg","https://www.pinterest.com/pin/259308891018939375/",""
"Classic wedding photo","https://s-media-cache-ak0.pinimg.com/236x/b0/ee/2b/b0ee2b972415f73e13acc4c3401d34ed.jpg","https://www.pinterest.com/pin/11399805282728592/",""
"40 Vintage Wedding Ring Details That Are Utterly To Die For..these late beautiful!!","https://s-media-cache-ak0.pinimg.com/236x/b8/83/8f/b8838f69dff65871e3acd2be1c51e48a.jpg","https://www.pinterest.com/pin/349873464774517274/",""
