"large_image.alt","large_image.src","large_image.href","large_image.text","title","tag_desc","ogi_pinner","board_name.href","board_name.text"
"That dress!","https://s-media-cache-ak0.pinimg.com/736x/61/4f/e8/614fe8ae04fde28732d9f34b731af85f.jpg","http://futurewedding.tumblr.com/post/37051002781","","","","","https://www.pinterest.com/minted/vintage-wedding/","Vintage Wedding"
"Future Vintage Wedding","https://s-media-cache-ak0.pinimg.com/736x/2a/d4/03/2ad403a9d2dc77abfc57d9737e11c5dc.jpg","http://futurewedding.tumblr.com/post/50344593635","","","","","https://www.pinterest.com/minted/vintage-wedding/","Vintage Wedding"
"Future Wedding - simple traditional wedding cake","https://s-media-cache-ak0.pinimg.com/736x/5c/0b/6b/5c0b6b9ab3affba0f3a37b8106183035.jpg","http://futurewedding.tumblr.com/post/54374802394","","","","","https://www.pinterest.com/minted/vintage-wedding/","Vintage Wedding"
"This would make a cute picture while you are getting ready. #Vintage # Wedding #Ideas","https://s-media-cache-ak0.pinimg.com/736x/d3/f9/7d/d3f97dbf5bd5e61e5ba1175d83ed35b0.jpg","http://www.utahbrideblog.com/utah-vendors/wedding-day-beauty-tips-from-an-expert/","","","","","https://www.pinterest.com/LaurenRennells/vintage-wedding-ideas/","Vintage Wedding Ideas"
"Love this vintage eclectic cake display! // photo by Chantel Marie, see more: http://theeverylastdetail.com/vintage-eclectic-california-wedding/","https://s-media-cache-ak0.pinimg.com/736x/62/30/f9/6230f9850c53d83baef7e4efcd983f0b.jpg","http://theeverylastdetail.com/vintage-eclectic-california-wedding/#_a5y_p=1386380","","http://theeverylastdetail.com/vintage-eclectic-california-wedding/#_a5y_p=1386380","Vintage Eclectic California Wedding","Set in an old factory building, today’s vintage eclectic California wedding from Chantel Marie is overflowing with love, style, and amazing details! From the girls’ floral head wreaths, to vintage bottles and wood accents, every aspect of this wedding embodies the vintage eclectic look, and it’s abs...","http://theeverylastdetail.com/vintage-eclectic-california-wedding/#_a5y_p=1386380","Every Last Detail","https://www.pinterest.com/minted/vintage-wedding/","Vintage Wedding"
"beautiful wedding ring","https://s-media-cache-ak0.pinimg.com/736x/0f/0f/6b/0f0f6b5646cbafb6d2afb603d0e52d2e.jpg","http://lover.ly/image/108319","","","","","https://www.pinterest.com/minted/vintage-wedding/","Vintage Wedding"
"Wedding Trends: Ulyana Sergeenko Inspired","https://s-media-cache-ak0.pinimg.com/736x/4c/0c/10/4c0c109f202a7f0be4db8c7addcf070b.jpg","http://www.minted.com/julep/2013/07/11/wedding-trends-ulyana-sergeenko-inspired-2/","","","","",""
"Wedding Kiss: Photography in the 1950s Uncovered on Ebay","https://s-media-cache-ak0.pinimg.com/736x/c6/e3/3b/c6e33bc3601630f195ca6a06e9f1b88c.jpg","http://weddingphotography.com.ph/10533/wedding-kiss-photography-1950s-uncovered-ebay/","","","","","https://www.pinterest.com/tammym1972/vintage-wedding/","Vintage Wedding"
"Hott Mama In The City: Beautiful & Personalized Paper Goods from Minted","https://s-media-cache-ak0.pinimg.com/736x/bf/d0/1a/bfd01aacaad3c58b19aa435f65a0bdf5.jpg","http://www.hottmamainthecity.com/2013/05/beautiful-personalized-paper-goods-from.html","","","","",""
"Elvis & Priscilla on their wedding day, May 1, 1967","https://s-media-cache-ak0.pinimg.com/736x/11/c5/8f/11c58ff7713226c408673145f881515f.jpg","http://vintagegal.tumblr.com/post/84426166502/elvis-and-priscilla-presleys-wedding-day-may","","","","","https://www.pinterest.com/makenna_alyse/beautiful-people/","beautiful people"
